arrivalDate,cancellationReason,city,class,contractor,country,countryState,customer,customerDeadlineDate,customerName,deadlineDate,defect,installedTerminalModel,installedTerminalSak,installedTerminalSerialNumber,installedTerminalType,kitName,kitQuantity,lastModifiedDate,logisticOperator,neighborhood,openingDate,orderNumber,project,provider,serviceGroup,serviceType,solution,status,technicianName,totalVisits,uninstalledTerminalModel,uninstalledTerminalSak,uninstalledTerminalSerialNumber,uninstalledTerminalType,visitReason1,visitReason2,date_check,ccid_out
2019-06-25T00:00:00,,RIO DE JANEIRO,S21,STONE PAGAMENTOS,BRASIL,RJ,135937962,2019-07-29T18:00:00,Sinuca de Bico,2019-07-29T18:00:00,,,,,,,0,2019-06-25T16:35:28,VEJA7,Centro,2019-05-25T07:13:46,2519247,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,448742,6C092290,GPRS-WIFI,,,2019-06-26,89551025142005876567
2019-06-25T15:51:00,,SAO PAULO,,STONE PAGAMENTOS,BRASIL,SP,837695889,2019-07-18T18:00:00,FASHION HELEN ROSES,2019-07-18T18:00:00,,,,,,,0,2019-06-25T16:03:06,VEJA7,JARDIM PERI,2019-05-14T19:43:23,2466378,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-VEJA7,0,S920,1262058,6G274866,GPRS-WIFI,,,2019-06-26,89551021142001271643
2019-06-19T15:30:00,,TOMAZINA,,STONE PAGAMENTOS,BRASIL,PR,146131896,2019-06-19T18:00:00,AUTO CENTER LOUZANO,2019-06-19T18:00:00,,,,,,,0,2019-06-25T09:30:43,PAYTEC,CENTRO,2019-06-10T16:38:04,2587390,,PR-LONDRINA,DESINSTALAÇÃO,DESINSTALAÇÃO,,BAIXADA,FABIO MIRANDA,1,D210N,364494,51535287,GPRS-WIFI,,,2019-06-26,89550312000036022169
2019-06-25T00:00:00,(Caça) Coleta agendada,FORTALEZA,S19,STONE PAGAMENTOS,BRASIL,CE,212531865,2019-07-11T18:00:00,LAB LINUS PAULING,2019-07-11T18:00:00,,,,,,,0,2019-06-25T11:51:25,VEJA7,MESSEJANA,2019-05-09T11:44:25,2444990,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,VX 685 GPRS,755223,523-976-714,GPRS,,,2019-06-26,
2019-06-25T00:00:00,(Caça) Coleta agendada,RIO DE JANEIRO,VJ-24,STONE PAGAMENTOS,BRASIL,RJ,121089266,2019-06-14T18:00:00,CURSOS LIVRES EB,2019-06-14T18:00:00,,,,,,,0,2019-06-25T16:20:23,VEJA7,Méier,2019-04-09T23:10:40,2337415,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,D210N,578881,51658301,GPRS-WIFI,,,2019-06-26,89550534180026476112
2019-06-25T12:40:33,,MACAE,,STONE PAGAMENTOS,BRASIL,RJ,164870787,2019-06-25T18:00:00,TO NO TRABALHO,2019-06-25T18:00:00,,,,,,,0,2019-06-25T12:40:36,STONE PAGAMENTOS,Lagomar,2019-06-19T14:29:19,2637188,,RJ - MACAE STONE PAGAMENTOS,DESINSTALAÇÃO,DESINSTALAÇÃO,,BAIXADA,Bianca Barros De Alcântara,1,S920,1424507,6G656302,GPRS-WIFI,,,2019-06-26,89551017142001344891
2019-06-25T00:00:00,,RIO DE JANEIRO,,STONE PAGAMENTOS,BRASIL,RJ,196962025,2019-07-31T18:00:00,Pedro Grether,2019-07-31T18:00:00,,,,,,,0,2019-06-25T16:02:08,VEJA7,Humaitá,2019-05-28T18:21:34,2532990,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,800856,6C574653,GPRS-WIFI,,,2019-06-26,
2019-06-25T00:00:00,,RIO DE JANEIRO,,STONE PAGAMENTOS,BRASIL,RJ,196962025,2019-07-31T18:00:00,Pedro Grether,2019-07-31T18:00:00,,,,,,,0,2019-06-25T16:27:08,VEJA7,Humaitá,2019-05-28T18:21:46,2532993,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,800858,6C567692,GPRS-WIFI,,,2019-06-26,
2019-06-25T00:00:00,,RIO DE JANEIRO,,STONE PAGAMENTOS,BRASIL,RJ,196962025,2019-07-31T18:00:00,Pedro Grether,2019-07-31T18:00:00,,,,,,,0,2019-06-25T16:45:25,VEJA7,Humaitá,2019-05-28T18:21:40,2532992,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,800857,6C233237,GPRS-WIFI,,,2019-06-26,
2019-06-25T00:00:00,,QUEIMADOS,,STONE PAGAMENTOS,BRASIL,RJ,628332277,2019-08-14T18:00:00,Anezio Contabilidade,2019-08-14T18:00:00,,,,,,,0,2019-06-25T12:48:31,VEJA7,Centro,2019-06-11T18:36:42,2593823,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,886624,6C626502,GPRS-WIFI,,,2019-06-26,89551025342000473424
2019-06-25T10:20:00,,PINHAIS,VJ-25,STONE PAGAMENTOS,BRASIL,PR,447169874,2019-08-01T18:00:00,Requinte,2019-08-01T18:00:00,,,,,,,0,2019-06-25T10:32:45,VEJA7,Jardim Alto Taruma,2019-05-30T14:23:17,2543087,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-N MENDES-MOTOBOY-001,0,S920,317070,68837651,GPRS-WIFI,,,2019-06-26,8955311929893659624
2019-06-25T00:00:00,,CABO FRIO,,STONE PAGAMENTOS,BRASIL,RJ,157908059,2019-08-14T18:00:00,DROGARIA CAICARA,2019-08-14T18:00:00,,,,,,,0,2019-06-25T12:37:42,VEJA7,Jardim Caiçara,2019-06-12T15:11:43,2598787,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,D210N,222406,51312090,GPRS-WIFI,,,2019-06-26,89551020126002455736
2019-06-19T00:00:00,,ABAETETUBA,,STONE PAGAMENTOS,BRASIL,PA,191345320,2019-06-11T18:00:00,Farmacia Sao Pedro,2019-06-19T18:00:00,,,,,,,0,2019-06-25T08:52:32,PAYTEC,Centro,2019-06-04T15:52:00,2561176,,PA-ABAETETUBA,DESINSTALAÇÃO,DESINSTALAÇÃO,,BAIXADA,RAIMUNDO NONATO SIQUEIRA PATRI,2,S920,725539,6C162342,GPRS-WIFI,Encerrou as atividades,,2019-06-26,89551025142011919625
2019-06-25T00:00:00,(Caça) Coleta agendada,PALHOCA,VJ-19,STONE PAGAMENTOS,BRASIL,SC,129512979,2019-06-03T18:00:00,O MANEZINHO,2019-06-03T18:00:00,,,,,,,0,2019-06-25T10:13:46,VEJA7,passa vinte,2019-03-06T15:09:58,2195380,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,D210N,957179,51534542,GPRS-WIFI,,,2019-06-26,89551025342000663206
2019-06-25T00:00:00,,RIO DE JANEIRO,,STONE PAGAMENTOS,BRASIL,RJ,181554078,2019-08-15T18:00:00,VK Lanches,2019-08-15T18:00:00,,,,,,,0,2019-06-25T13:24:19,VEJA7,Copacabana,2019-06-12T20:28:34,2601241,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,977984,6C829882,GPRS-WIFI,,,2019-06-26,89551022342000667267
