ccid,customer,date_check,logistic_status,provider,serviceGroup,installedTerminalSerialNumber,orderNumber,uninstalledTerminalSerialNumber
89551025142003764583,184031744,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2306580.0,6C160148
89550312000120520425,269575221,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2306906.0,6C189007
89550532120024286941,146120437,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2306940.0,6C191021
89551017142001599577,457069989,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2307197.0,6C222143
89551022242001564499,111472192,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2307281.0,6C226425
8955316929871171761,207775058,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2307368.0,6C233271
89550312000121612262,302015809,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2307662.0,6C581725
89550531150006864150,184031744,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2308098.0,6C623572
89550312000137263944,237426967,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2308451.0,6C833212
89551025342000433816,346633800,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2437382.0,6C214817
89550531190028219751,169565502,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2437394.0,6C199488
89551020226001978348,141925846,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2308908.0,6C921011
89550532180045011181,586845252,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2309598.0,6G285266
89550532120024230626,169443594,2019-06-12,GOOD,SP - CAMPINAS STONE PAGAMENTOS,DESINSTALAÇÃO,,2581103.0,6C868200
89551001126000809440,342323383,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2437589.0,6C917190
89550532150014899635,150098036,2019-06-12,GOOD,SP - ITAPEVA FRANQUIA,DESINSTALAÇÃO,,2581563.0,6C867373
8955311929888147874,180559527,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2437623.0,6C630128
89551022242002515284,172761502,2019-06-12,GOOD,GO - GOIANIA STONE PAGAMENTOS,DESINSTALAÇÃO,,2581674.0,51767187
89551022342001473202,356082669,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2141795.0,6C631894
89551022242001887221,887346179,2019-06-12,GOOD,SC - TUBARAO STONE PAGAMENTOS,DESINSTALAÇÃO,,2581808.0,6C195386
89551025142004188097,167295625,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2140648.0,51664187
89551025142011960447,134972889,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2140998.0,68875987
89550534180025059067,697994610,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2563113.0,6C092126
89551018142000989687,162364008,2019-06-12,GOOD,SP - PAYTEC RT,DESINSTALAÇÃO,,2581983.0,68839302
89551022142000384859,148019192,2019-06-12,GOOD,SP - SANTO AMARO STONE PAGAMENTOS,DESINSTALAÇÃO,,2582191.0,68853908
89550532180052136319,148019192,2019-06-12,GOOD,SP - SANTO AMARO STONE PAGAMENTOS,DESINSTALAÇÃO,,2582192.0,6G281040
89550312000137284205,203226514,2019-06-12,GOOD,SC - TUBARAO STONE PAGAMENTOS,DESINSTALAÇÃO,,2582233.0,51661920
89550532180053040882,203226514,2019-06-12,GOOD,SC - TUBARAO STONE PAGAMENTOS,DESINSTALAÇÃO,,2582234.0,51544529
89550532180052074148,175218381,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2563418.0,6G283499
89551020142001190562,174509079,2019-06-12,GOOD,PA-AMAPA AP,DESINSTALAÇÃO,,2579886.0,6G288223
89550532120024234107,595233945,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2337049.0,51325312
89550534150008782654,146160331,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2337051.0,51325619
89550534120014291347,146093241,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2337194.0,51537333
89551017142001117024,865362790,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2337718.0,68841341
89551022142000386300,488422475,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2338662.0,6C616435
89551025342000474349,146160331,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2338704.0,6C624770
